patent_id,title,abstract,patent_date,organization
11212962,Field condition determination,At least one sensor carried by a mobile machine senses a sensed forage crop attribute value independent of plant population for an individual forage plant. A processing unit derives a derived forage crop attribute value based on the sensed forage crop attribute value. The derived forage crop attribute value is used to determine a field condition.,2022-01-04,Deere & Company
11212963,Failsafe mode for articulating harvesting header,"A control system and method for operating an articulating header of a combine harvester in a failsafe mode. The method includes monitoring the articulating header, alerting a user when a fault condition is detected in the articulating header, and converting the articulating header to a non-articulating header in response to the fault condition so that the combine harvester may be operated in a failsafe mode.",2022-01-04,CNH Industrial America LLC
11212964,Method of controlling an automated drone for harvesting produce,"A system for harvesting produce from a tree has a drone capable of hovering, a video camera gathering visual data of movement, a cutting implement, a remote control station with a display screen, wireless circuitry, and input mechanisms to control movement of the drone and operation of the cutting implement, and circuitry in the body of the drone enabling two-way communication with the remote control station, transmission of video data from the video camera, and response to commands from the remote control station. The video data from the camera on the drone is displayed on the display screen of the remote control station, and an operator viewing the display screen operates the input mechanisms, maneuvering the drone to position the cutting implement relative to produce in the tree, and triggers the cutting implement by command, severing a stem to separate the produce, causing the produce to fall from the tree.",2022-01-04,null
11212965,Tool for deep selective pruning of branches and vines,"A precision pruner for selectively cutting twigs, branches, stalks and vines deep within a bush or shrub has an elongated tool portion with at least one notch. A first handle is stationarily disposed on the tool portion and a cutter portion is slidably disposed on the tool portion. A cutting edge is aligned with notch(es) in a normal position, and a second handle is pivotally disposed on the first handle portion such that squeezing the first and second handles together slides the cutter portion relative to the tool portion out of the normal position so that the cutting edge(s) and the notch(es) are moved towards each other, thereby cutting any material received within the notch(es).",2022-01-04,null
11212966,Floral and plant bouquet arranging fixture,"The invention relates to a reusable floral bouquet arranging fixture having a 3D substantially conic section frame, with apertures arranged thereon for the insertion of plant stems, such that the plant stems converge substantially to a common point; wherein the frame attaches to an adjustable support apparatus, including an associated spindle, and a bracket having a lower arm with a slotted portion that adjusts the location of the spindle, and an upper arm slotted portion that adjusts the location of a holding device, including a clamp that attaches to a base; and wherein said frame is removable for use at an event, as a gift, or as a household or business decoration.",2022-01-04,null
11212967,Light emitting structures,"A light emitting structure includes a plurality of structural members forming a framework, wherein the framework has a plurality of spaces between the plurality of structural members; a lighting circuit integrally connected to one or more of the plurality of structural members; and a plurality of light emitting diodes electrically connected to the lighting circuit, wherein the plurality of light emitting diodes are integrally connected to the plurality of structural members via the lighting circuit; wherein the plurality of structural members are constructed to support one or more plants.",2022-01-04,"HGCI, Inc."
11212968,"Method, system for remotely growing plants, computer program product for implementing the method, and farming tool assembly","A method is proposed for remotely growing plants in a planting zone that is divided into multiple planting areas. Via an electronic device that communicates with a remote automated planting sub-system in the planting zone, a user may select desired planting area(s) and desired type(s) of plant precursors on the electronic device, and remotely cause the remote automated planting sub-system to plant the selected type(s) of plant precursors into the selected planting area(s).",2022-01-04,null
11212969,Timed vertical plant transport in indoor farming,"A multi-level vertical farm comprises a lift apparatus configured to carry growth trays from a bottom to a top position adjacent to a conveyor. The conveyor is configured to transport trays downwardly to near the bottom position and normally is fully loaded with adjacent trays along the entire conveyor. A growth tray in the lowest, bottom position is discharged out of that position to an irrigation or harvesting station. The discharge of a tray from the bottom position causes preceding trays to move downward, thereby opening a space in the top position for another tray, which may be lifted there. A computer system may be connected to the apparatus and programmed to start a motor of the lift apparatus to move the growth trays. The apparatus enables simulating a day-night plant growth cycle, and using thermal convection to apply more warmth to higher positions, in a compact vertical arrangement.",2022-01-04,"Area 2 Farms, Inc."
11212970,Growing system and method,"In indoor growing system uses roof mounted solar collector tubes that are supplemented with red and blue light emitting LED's. The LED intensity and intensity ratio is modulated in response to the chromatic variations in the solar energy reaching the plants that occurs season, time of day and weather conditions to optimize plant growth as well as product yield and quality. The LED intensity and intensity ratio is also temporally modulated in accordance with a plants growing cycle. The system enables space intensive agriculture with lower power and water usage, while producing higher quantity and quality output.",2022-01-04,Bloomkeep Inc.
11212971,Device for growing mushrooms,"The present invention relates to a device for growing mushrooms, including beds for holding compost and a shelving arranged for supporting the beds for holding compost. The beds are placed at a mutual distance above each other. The beds are movable between at least a first position, wherein a second bed supported above a first bed at least partially impedes the accessibility of the first bed in a direction perpendicular to the plane in which the first bed extends, and a second position in which at least a larger part of the first bed is free approachable from a direction perpendicular to the plane in which the first bed extends than in the first position. The shelving includes at least one portal. The portal includes at least two essentially vertical stands connected by at least one beam that extends from a first stand to the second stand. At least two beds are movably supported by the at least one beam.",2022-01-04,null
11212972,Method and apparatus for substantially isolating plant tissues,"The present invention discloses and claims methods and devices for the rapid mechanical isolation of monocot plant tissues suitable for transformation or tissue culture. The invention includes mechanical devices for substantially isolating target plant tissues for use as transformable explants, and propagation of transgenic plants and plant tissues.",2022-01-04,Monsanto Company
11212973,Inbred pepper line PPL1511,"One embodiment relates to seed and plants of inbred pepper line PPL1511. Another embodiment relates to the plants, seeds and tissue cultures of inbred pepper line PPL1511, and to methods for producing a pepper plant produced by crossing such plants with themselves, with another pepper plant, such as a plant of another genotype, or with vegetatively propagating said plant. Another embodiment further relates to seeds and plants produced by such crossing. Further embodiments relate to parts of such plants, including the fruit and gametes of such plants. Further embodiments relate to hybrid produced by using inbred pepper line PPL1511 as a parent, said hybrids including XPP2617, XPP2618, SPP2622, SPP2628, XP2657, XPP2658, XPP2659, XPP2660, and XPP2663.",2022-01-04,"Sakata Seed America, Inc."
11212974,Lettuce variety 79-856 RZ,"The present invention relates to a Lactuca sativa seed designated 79-856 RZ. The present invention also relates to a Lactuca sativa plant produced by growing the 79-856 RZ seed. The invention further relates to methods for producing the lettuce cultivar, represented by lettuce variety 79-856 RZ.",2022-01-04,RIJK ZWAAN ZAADTEELT EN ZAADHANDEL B.V.
11212975,Canola hybrid variety 7CN0425,"The invention relates to a Canola hybrid variety designated 7CN0425, essentially derived variants of that Canola hybrid variety, to the cells, seeds, plants, and plant parts of this Canola hybrid variety 7CN0425. The invention also relates to methods for producing a canola plant containing in its genetic material one or more traits introgressed into 7CN0425 through backcross conversion and/or transformation, and to the Canola seed, plant and plant part produced thereby. The invention also relates to uses of 7CN0425.",2022-01-04,"BASF AGRICULTURAL SOLUTIONS SEED, US LLC"
11212976,Canola inbred N00644FC,"A novel canola variety designated N00644FC and seed, plants and plant parts thereof. Methods for producing a canola plant that comprise crossing canola variety N00644FC with another canola plant. Methods for producing a canola plant containing in its genetic material one or more traits introgressed into N00644FC through backcross conversion and/or transformation, and to the canola seed, plant and plant part produced thereby. Hybrid canola seed, plant or plant part produced by crossing the canola variety N00644FC or a locus conversion of N00644FC with another canola variety.",2022-01-04,"Pioneer Hi-Bred International, Inc."
11212977,Sorghum variety 2PDVH43,"A novel sorghum variety designated 2PDVH43 and seed, plants, plant parts and plant cells thereof are provided. Methods for producing a sorghum plant comprise crossing sorghum variety 2PDVH43 with another sorghum plant. Sorghum variety 2PDVH43, the seed, the plant produced from the seed, and variants, mutants, and minor modifications of sorghum variety 2PDVH43 are provided. Methods for producing a sorghum plant containing in its genetic material one or more traits introgressed into sorghum variety 2PDVH43 include one or both of backcross conversion and transformation. The sorghum seed, plants and plant parts produced thereby are described.",2022-01-04,"Pioneer Hi-Bred International, Inc."
11212978,Sorghum inbred PH2877MR,"A novel sorghum variety designated PH2877MR and seed, plants and plant parts thereof are provided. Methods for producing a plant comprise crossing sorghum variety PH2877MR with another plant. Sorghum seed, plants and plant parts produced by crossing sorghum variety PH2877MR with another plant are described. Methods for producing a plant containing in its genetic material one or more traits introgressed into PH2877MR include one or both of backcross conversion and transformation. Hybrid sorghum seed, plants or plant parts produced by crossing the sorghum variety PH2877MR or a locus conversion of PH2877MR with another sorghum variety are disclosed.",2022-01-04,"Pioneer Hi-Bred International, Inc."
11212979,Sorghum inbred PH3284FR,"A novel sorghum variety designated PH3284FR and seed, plants and plant parts thereof are provided. Methods for producing a plant comprise crossing sorghum variety PH3284FR with another plant. Sorghum seed, plants and plant parts produced by crossing sorghum variety PH3284FR with another plant are described. Methods for producing a plant containing in its genetic material one or more traits introgressed into PH3284FR include one or both of backcross conversion and transformation. Hybrid sorghum seed, plants or plant parts produced by crossing the sorghum variety PH3284FR or a locus conversion of PH3284FR with another sorghum variety are disclosed.",2022-01-04,"Pioneer Hi-Bred International, Inc."
11212980,Wheat variety 6PQZV26B,"A wheat variety designated 6PQZV26B, the plants and seeds of wheat variety 6PQZV26B, methods for producing a wheat plant produced by crossing the variety 6PQZV26B with another wheat plant, and hybrid wheat seeds and plants produced by crossing the variety 6PQZV26B with another wheat line or plant, and the creation of variants by backcrossing, mutagenesis or transformation of variety 6PQZV26B are disclosed. Methods for producing other wheat varieties or breeding lines derived from wheat variety 6PQZV26B and to wheat varieties or breeding lines produced by those methods are also provided.",2022-01-04,"Pioneer Hi-Bred International, Inc."
11212981,Wheat variety 6PYMG52B,"A wheat variety designated 6PYMG52B, the plants and seeds of wheat variety 6PYMG52B, methods for producing a wheat plant produced by crossing the variety 6PYMG52B with another wheat plant, and hybrid wheat seeds and plants produced by crossing the variety 6PYMG52B with another wheat line or plant, and the creation of variants by backcrossing, mutagenesis or transformation of variety 6PYMG52B are disclosed. Methods for producing other wheat varieties or breeding lines derived from wheat variety 6PYMG52B and to wheat varieties or breeding lines produced by those methods are also provided.",2022-01-04,"Pioneer Hi-Bred International, Inc."
11212982,Wheat variety 6PSQD81B,"A wheat variety designated 6PSQD81B, the plants and seeds of wheat variety 6PSQD81B, methods for producing a wheat plant produced by crossing the variety 6PSQD81B with another wheat plant, and hybrid wheat seeds and plants produced by crossing the variety 6PSQD81B with another wheat line or plant, and the creation of variants by backcrossing, mutagenesis or transformation of variety 6PSQD81B are disclosed. Methods for producing other wheat varieties or breeding lines derived from wheat variety 6PSQD81B and to wheat varieties or breeding lines produced by those methods are also provided.",2022-01-04,"Pioneer Hi-Bred International, Inc."
11212983,Wheat variety 6PVEJ41B,"A wheat variety designated 6PVEJ41B, the plants and seeds of wheat variety 6PVEJ41B, methods for producing a wheat plant produced by crossing the variety 6PVEJ41B with another wheat plant, and hybrid wheat seeds and plants produced by crossing the variety 6PVEJ41B with another wheat line or plant, and the creation of variants by backcrossing, mutagenesis or transformation of variety 6PVEJ41B are disclosed. Methods for producing other wheat varieties or breeding lines derived from wheat variety 6PVEJ41B and to wheat varieties or breeding lines produced by those methods are also provided.",2022-01-04,"Pioneer Hi-Bred International, Inc."
11212984,Wheat variety 6PEQT15B,"A wheat variety designated 6PEQT15B, the plants and seeds of wheat variety 6PEQT15B, methods for producing a wheat plant produced by crossing the variety 6PEQT15B with another wheat plant, and hybrid wheat seeds and plants produced by crossing the variety 6PEQT15B with another wheat line or plant, and the creation of variants by backcrossing, mutagenesis or transformation of variety 6PEQT15B are disclosed. Methods for producing other wheat varieties or breeding lines derived from wheat variety 6PEQT15B and to wheat varieties or breeding lines produced by those methods are also provided.",2022-01-04,"Pioneer Hi-Bred International, Inc."
11212985,Wheat variety 6PLKV03B,"A wheat variety designated 6PLKV03B, the plants and seeds of wheat variety 6PLKV03B, methods for producing a wheat plant produced by crossing the variety 6PLKV03B with another wheat plant, and hybrid wheat seeds and plants produced by crossing the variety 6PLKV03B with another wheat line or plant, and the creation of variants by backcrossing, mutagenesis or transformation of variety 6PLKV03B are disclosed. Methods for producing other wheat varieties or breeding lines derived from wheat variety 6PLKV03B and to wheat varieties or breeding lines produced by those methods are also provided.",2022-01-04,"Pioneer Hi-Bred International, Inc."
11212986,Wheat variety 6PHDV88B,"A wheat variety designated 6PHDV88B, the plants and seeds of wheat variety 6PHDV88B, methods for producing a wheat plant produced by crossing the variety 6PHDV88B with another wheat plant, and hybrid wheat seeds and plants produced by crossing the variety 6PHDV88B with another wheat line or plant, and the creation of variants by backcrossing, mutagenesis or transformation of variety 6PHDV88B are disclosed. Methods for producing other wheat varieties or breeding lines derived from wheat variety 6PHDV88B and to wheat varieties or breeding lines produced by those methods are also provided.",2022-01-04,"Pioneer Hi-Bred International, Inc."
11212987,Wheat variety 6PJBN05B,"A wheat variety designated 6PJBN05B, the plants and seeds of wheat variety 6PJBN05B, methods for producing a wheat plant produced by crossing the variety 6PJBN05B with another wheat plant, and hybrid wheat seeds and plants produced by crossing the variety 6PJBN05B with another wheat line or plant, and the creation of variants by backcrossing, mutagenesis or transformation of variety 6PJBN05B are disclosed. Methods for producing other wheat varieties or breeding lines derived from wheat variety 6PJBN05B and to wheat varieties or breeding lines produced by those methods are also provided.",2022-01-04,"Pioneer Hi-Bred International, Inc."
11212988,Inbred corn line KL14,"Inbred corn line, designated KL14, are disclosed. The invention relates to the seeds of inbred corn line KL14, to the plants and plant parts of inbred corn line KL14 and to methods for producing a corn plant, either inbred or hybrid, by crossing inbred corn line KL14 with itself or another corn line. The invention also relates to products produced from the seeds, plants, or parts thereof, of inbred corn line KL14 and/or of the hybrids produced using the inbred as a parent. The invention further relates to methods for producing a corn plant containing in its genetic material one or more transgenes and to the transgenic plants produced by that method and to methods for producing other corn lines derived from inbred corn line KL14.",2022-01-04,"Limagrain Europe S.A., KWS SAAT SE"
11212989,Inbred corn line BV10,"Inbred corn line, designated BV10, are disclosed. The invention relates to the seeds of inbred corn line BV10, to the plants and plant parts of inbred corn line BV10 and to methods for producing a corn plant, either inbred or hybrid, by crossing inbred corn line BV10 with itself or another corn line. The invention also relates to products produced from the seeds, plants, or parts thereof, of inbred corn line BV10 and/or of the hybrids produced using the inbred as a parent. The invention further relates to methods for producing a corn plant containing in its genetic material one or more transgenes and to the transgenic plants produced by that method and to methods for producing other corn lines derived from inbred corn line BV10.",2022-01-04,"Limagrain Europe S.A., KWS SAAT SE"
11212990,Maize inbred SG350,"The present invention provides the inbred maize variety designated SG350 and relates to all plant parts and tissue cultures of variety SG350. The invention further encompasses methods for producing derivations of variety SG350 such as gene-edited plants, transgenically-modified plants or trait integrated plants, and to all plant parts and tissues derived from such methods. The invention further relates to maize seeds and plants produced by crossing inbred SG350 with itself, or with another maize plant. The invention further relates to the inbred and hybrid genetic and/or genomic complements of variety SG350 plants, seeds, and tissues.",2022-01-04,"AGRIHORIZON, INC."
11212991,Maize inbred 1DLAX1066,"A novel maize variety designated 1DLAX1066 and seed, plants and plant parts thereof are provided. Methods for producing a maize plant comprise crossing maize variety 1DLAX1066 with another maize plant are provided. Methods for producing a maize plant containing in its genetic material one or more traits introgressed into 1DLAX1066 through backcross conversion and/or transformation, and to the maize seed, plant and plant part produced thereby are provided. Hybrid maize seed, plants or plant parts are produced by crossing the variety 1DLAX1066 or a locus conversion of 1DLAX1066 with another maize variety.",2022-01-04,"Agrigenetics, Inc."
11212992,Maize inbred 1DLDA1080,"A novel maize variety designated 1DLDA1080 and seed, plants and plant parts thereof are provided. Methods for producing a maize plant comprise crossing maize variety 1DLDA1080 with another maize plant are provided. Methods for producing a maize plant containing in its genetic material one or more traits introgressed into 1DLDA1080 through backcross conversion and/or transformation, and to the maize seed, plant and plant part produced thereby are provided. Hybrid maize seed, plants or plant parts are produced by crossing the variety 1DLDA1080 or a locus conversion of 1DLDA1080 with another maize variety.",2022-01-04,"Agrigenetics, Inc."
11212993,Maize hybrid X15R436,"A novel maize variety designated X15R436 and seed, plants and plant parts thereof are produced by crossing inbred maize varieties. Methods for producing a maize plant by crossing hybrid maize variety X15R436 with another maize plant are disclosed. Methods for producing a maize plant containing in its genetic material one or more traits introgressed into X15R436 through backcrossing or genetic transformation, and to the maize seed, plant and plant part produced thereby are described. Maize variety X15R436, the seed, the plant produced from the seed, and variants, mutants, and minor modifications of maize variety X15R436 are provided. Methods for producing maize varieties derived from maize variety X15R436 and methods of using maize variety X15R436 are disclosed.",2022-01-04,"Pioneer Hi-Bred International, Inc."
11212994,Maize hybrid X25R323,"A novel maize variety designated X25R323 and seed, plants and plant parts thereof are produced by crossing inbred maize varieties. Methods for producing a maize plant by crossing hybrid maize variety X25R323 with another maize plant are disclosed. Methods for producing a maize plant containing in its genetic material one or more traits introgressed into X25R323 through backcrossing or genetic transformation, and to the maize seed, plant and plant part produced thereby are described. Maize variety X25R323, the seed, the plant produced from the seed, and variants, mutants, and minor modifications of maize variety X25R323 are provided. Methods for producing maize varieties derived from maize variety X25R323 and methods of using maize variety X25R323 are disclosed.",2022-01-04,"Pioneer Hi-Bred International, Inc."
11212995,Maize hybrid X8F873,"A novel maize variety designated X8F873 and seed, plants and plant parts thereof are produced by crossing inbred maize varieties. Methods for producing a maize plant by crossing hybrid maize variety X8F873 with another maize plant are disclosed. Methods for producing a maize plant containing in its genetic material one or more traits introgressed into X8F873 through backcrossing or genetic transformation, and to the maize seed, plant and plant part produced thereby are described. Maize variety X8F873, the seed, the plant produced from the seed, and variants, mutants, and minor modifications of maize variety X8F873 are provided. Methods for producing maize varieties derived from maize variety X8F873 and methods of using maize variety X8F873 are disclosed.",2022-01-04,"Pioneer Hi-Bred International, Inc."
11212996,Maize hybrid X18R888,"A novel maize variety designated X18R888 and seed, plants and plant parts thereof are produced by crossing inbred maize varieties. Methods for producing a maize plant by crossing hybrid maize variety X18R888 with another maize plant are disclosed. Methods for producing a maize plant containing in its genetic material one or more traits introgressed into X18R888 through backcrossing or genetic transformation, and to the maize seed, plant and plant part produced thereby are described. Maize variety X18R888, the seed, the plant produced from the seed, and variants, mutants, and minor modifications of maize variety X18R888 are provided. Methods for producing maize varieties derived from maize variety X18R888 and methods of using maize variety X18R888 are disclosed.",2022-01-04,"Pioneer Hi-Bred International, Inc."
11212997,Maize hybrid X18R893,"A novel maize variety designated X18R893 and seed, plants and plant parts thereof are produced by crossing inbred maize varieties. Methods for producing a maize plant by crossing hybrid maize variety X18R893 with another maize plant are disclosed. Methods for producing a maize plant containing in its genetic material one or more traits introgressed into X18R893 through backcrossing or genetic transformation, and to the maize seed, plant and plant part produced thereby are described. Maize variety X18R893, the seed, the plant produced from the seed, and variants, mutants, and minor modifications of maize variety X18R893 are provided. Methods for producing maize varieties derived from maize variety X18R893 and methods of using maize variety X18R893 are disclosed.",2022-01-04,"Pioneer Hi-Bred International, Inc."
11212998,Soybean cultivar 88282833,"A soybean cultivar designated 88282833 is disclosed. The invention relates to the seeds of soybean cultivar 88282833, to the plants of soybean cultivar 88282833, to the plant parts of soybean cultivar 88282833, and to methods for producing progeny of soybean cultivar 88282833. The invention also relates to methods for producing a soybean plant containing in its genetic material one or more transgenes and to the transgenic soybean plants and plant parts produced by those methods. The invention also relates to soybean cultivars or breeding cultivars, and plant parts derived from soybean cultivar 88282833. The invention also relates to methods for producing other soybean cultivars, lines, or plant parts derived from soybean cultivar 88282833, and to the soybean plants, varieties, and their parts derived from use of those methods. The invention further relates to hybrid soybean seeds, plants, and plant parts produced by crossing cultivar 88282833 with another soybean cultivar.",2022-01-04,"M.S. Technologies, L.L.C."
11212999,Soybean cultivar EE1600331,"The present invention is in the field of soybean variety EE1660019, EE1660070, EE1660299, EE1660534, EE1660343, EE1660277, EE1600331, or AR1502197 breeding and development. The present invention particularly relates to the soybean variety EE1660019, EE1660070, EE1660299, EE1660534, EE1660343, EE1660277, EE1600331, or AR1502197 and its seed, cells, germplasm, plant parts, and progeny, and methods of using EE1660019, EE1660070, EE1660299, EE1660534, EE1660343, EE1660277, EE1600331, or AR1502197 in a breeding program.",2022-01-04,Syngenta Crop Protection AG
11213000,Soybean cultivar 98842617,"A soybean cultivar designated 98842617 is disclosed. The invention relates to the seeds of soybean cultivar 98842617, to the plants of soybean cultivar 98842617, to the plant parts of soybean cultivar 98842617, and to methods for producing progeny of soybean cultivar 98842617. The invention also relates to methods for producing a soybean plant containing in its genetic material one or more transgenes and to the transgenic soybean plants and plant parts produced by those methods. The invention also relates to soybean cultivars or breeding cultivars, and plant parts derived from soybean cultivar 98842617. The invention also relates to methods for producing other soybean cultivars, lines, or plant parts derived from soybean cultivar 98842617, and to the soybean plants, varieties, and their parts derived from use of those methods. The invention further relates to hybrid soybean seeds, plants, and plant parts produced by crossing cultivar 98842617 with another soybean cultivar.",2022-01-04,Mertec LLC
11213001,Soybean cultivar 98320614,"A soybean cultivar designated 98320614 is disclosed. The invention relates to the seeds of soybean cultivar 98320614, to the plants of soybean cultivar 98320614, to the plant parts of soybean cultivar 98320614, and to methods for producing progeny of soybean cultivar 98320614. The invention also relates to methods for producing a soybean plant containing in its genetic material one or more transgenes and to the transgenic soybean plants and plant parts produced by those methods. The invention also relates to soybean cultivars or breeding cultivars, and plant parts derived from soybean cultivar 98320614. The invention also relates to methods for producing other soybean cultivars, lines, or plant parts derived from soybean cultivar 98320614, and to the soybean plants, varieties, and their parts derived from use of those methods. The invention further relates to hybrid soybean seeds, plants, and plant parts produced by crossing cultivar 98320614 with another soybean cultivar.",2022-01-04,"M.S. Technologies, L.L.C."
11213002,Soybean variety 5PYLF29,"A novel soybean variety, designated 5PYLF29 is provided. Also provided are the seeds of soybean variety 5PYLF29, cells from soybean variety 5PYLF29, plants of soybean 5PYLF29, and plant parts of soybean variety 5PYLF29. Methods provided include producing a soybean plant by crossing soybean variety 5PYLF29 with another soybean plant, methods for introgressing a transgenic trait, a mutant trait, and/or a native trait into soybean variety 5PYLF29, methods for producing other soybean varieties or plant parts derived from soybean variety 5PYLF29, and methods of characterizing soybean variety 5PYLF29. Soybean seed, cells, plants, germplasm, breeding lines, varieties, and plant parts produced by these methods and/or derived from soybean variety 5PYLF29 are further provided.",2022-01-04,"Agrigenetics, Inc."
11213003,Cotton variety ST 4550GLTP,"The cotton variety ST 4550GLTP is disclosed. The invention relates to seeds, plants, plant cells, plant tissue, harvested products and cotton lint as well as to hybrid cotton plants and seeds obtained by repeatedly crossing plants of variety ST 4550GLTP with other plants. The invention also relates to plants and varieties produced by the method of essential derivation from plants of ST 4550GLTP and to plants of ST 4550GLTP reproduced by vegetative methods, including but not limited to tissue culture of regenerable cells or tissue from ST 4550GLTP.",2022-01-04,"BASF AGRICULTURAL SOLUTIONS SEED, US LLC"
11213004,Reducing cadmium accumulation in field grown tobacco plants,"There is described herein a mutant plant or part thereof having at least partially reduced expression or activity of at least two heavy metal ATPases (HMAs), said two HMAs comprising, consisting or consisting essentially of: (i) polypeptides having at least 65% sequence identity to SEQ ID NO:1 and SEQ ID NO:2; (ii) polynucleotides encoding the polypeptides set forth in (i); or (iii) polynucleotides having at least 65% sequence identity to SEQ ID NO:3 and SEQ ID NO:4 encoding HMAs; wherein the expression or activity of one of the HMAs set forth in (i) or (ii) or (iii) is partially reduced or lost and the expression or activity of one of the HMAs set forth in (i) or (ii) or (iii) is lost as compared to a control plant; and wherein the mutant plant or part thereof exhibits at least a 27% reduction, as compared to the control plant, in the accumulation of cadmium in leaf when the mutant plant is grown in the field in the presence of naturally or non-naturally occurring cadmium.",2022-01-04,Philip Morris Products S.A.
11213005,Pro pet,"A portable pet carrier is configured to allow the user to carry pet during travel, is disclosed. The pet carrier or carrier device comprises a sturdy handle at its top for easy carrying by the user while travelling. The carrier is having a cage door at its front for entry and exit of the pet. The pet container is provided with detachable food and water chamber. Further, a detachable base unit is incorporated in the pet carrier for easy cleaning of pet waste. The pads or blankets incorporated on the pet carrier could be customized with one or more base colors and printed images for the user, for example, sports fans to show off their favorite team color and spirit. The carrier device could be manufactured in different sizes such that the components are arranged to provide safety and comfort to the pet.",2022-01-04,null
11213006,Release method for insect distribution,"A diffuser for distributing insects such as mosquitoes from an aircraft, comprises a distribution tube connected to an insect source at a first end and open to the outside at a second end in a direction away from that of travel of the aircraft, for distribution of the insects; and a profile surrounding the second end, the profile being shaped to define a steadily changing airspeed. The pipe may be aligned with airflow at the point of exit of the pipe and protection may be provided around or just upstream of the exit to provide a point of minimal air velocity at the exit, the exit being the point of release of the insects.",2022-01-04,Senecio Ltd.
